WORD_SLOT1	WORD_SLOT2
nervous	hell
spiffy	hell
smooth	silk
clear	day
right	rain
high	hell
vital	breathing
sharp	hell
old	shit
old	shit
old	shit
cold	ice
hot	hell
nervous	hell
light	day
intriguing	hell
scary	hell
clear	day
solid	rock
sweet	honey
confusing	hell
sloppy	hell
mad	hell
corny	hell
clear	day
clear	day
hot	hell
clear	crystal
hard	stone
old	civilisation itself
sure	hell
unfocused	compere
hot	hell
scary	hell
proud	punch
old	nature itself
proud	hell
proud	hell
gleeful	hell
monotonous	vanilla
strong	metal
dry	desert
dead	hypocrisy rules
transparent	water
hot	hell
old	life
soft	hell
easy	pie
soft	hell
plain	day
simple	copy and paste
addictive	hell
good	rest
old	time
smooth	silk
oblivious	hell
reliable	airplane wifi
impressive	hell
enjoyable	sex after couples therapy
hot	heck
american	apple pie, baseball, and college tuition debt
clear	day
clear	day
slow	sap dripping from a maple tap
cute	heck
white	snow
pure	wool
plain	day
shady	hell
clear	day
toxic	hell
good	gold
white	snow
sure	hell
clear	crystal
happy	hell
pure and sparkling	mountain spring water
cute	heck
practical	hell
charming	fuck
soft	hell
clear	day
wrong	hell
old	humanity itself
old	slavery
old	nation
creative	hell
clear	day
lame	shit
sick	hell
easy	pie
small	shot
clear	daylight
old	language
smooth	silk
soft	hell
sure	heck
clear	day
elusive	nature itself
white	snow
cold	ice
strong	fuck
old	time
cute	pie
concrete	reality
clueless	hell
real	shit
dark	hell
smooth	glass
american	apple pie
white	light
white	snow
old	trade itself
sure	hell
dangerous	hell
stupid	fuck
good	spring
old	humanity itself
tough	steel
smooth	silk
smooth	silk
right	rain
good	gold
clear	daylight
white	snow
sure	day
sure	hell
hard	hell
green	grass
dark	a raven
miscible	oil and water
clear	day
old	mankind
old	time
strong	ice
weird	hell
sweet	honey
smooth	silk
dangerous	hell
tough	armour
creative	heck
old	intelligence operations themselves
cheesy	hell
old	rock
fickle	construction
clean	bed
light	air
pure	snow
american	apple pie
quiet	lust
clear	day
funny	heck
sweet	cooking
funny	hell
tasty	hell
dangerous	hell
old	video itself
fluffy	cotton candy
sexy	hell
funny	hell
nervous	hell
dirty	cotton
slippery	oil
old	time
liberal	fuck
strong	steel
reliable	sunshine
crazy	hell
sure	hell
funny	hell
stubborn	hell
competitive	hell
young	hell
simple	clarity
evil	hell
dumb	hell
macabre	hell
creepy	hell
nervous	hell
old	history
different	night and day
simple	cotton
mexican	fuck
clear	day
simple	word of mouth
american	apple pie and baseball
messy	hell
funny	hell
clear	day
fundamental	trash
fresh	daisy
distinct	chalk is from cheese
scary	hell
regular	clockwork
powerful	hell
white	snow
soft	velvet
thick	mince
tender	cake
hard	hell
pink	candyfloss
old	government itself
hearty	hell
mad	hell
clear	sunlight at high noon
creepy	hell
complex	life
hot	hell
easy	pie
stylish	hell
high	fuck
good	gold
corrupt	shit
clear	day
sweet	candy
commonplace	ketchup
rich	hell
rare	autumn
sure	hell
cool	hell
rocky	hell
smart	hell
right	rain
black	night
dark	night
cold	death
addictive	potato chips
weird	hell
strong	hell
good	gold
big	golf
clear	day
black	coal
nice	pie
accurate	hell
good	hell
normal	breathing
funny	hell
cool	hell
readily available	air
old	time
stylish	heck
tight	hell
bright	fuck
creepy	hell
mad	hell
clear	day
bloody	hell
american	apple pie
tough	school itself
thick	prayer-loving , bible-studying thieves
tenacious	ivy
sprawling	honeysuckle
prickly	that bountiful bane of every pacific northwest garden
creative	hell
funny	ritual disembowelment
smooth	stone
right	rain
dark	night
easy	pie
easy	pie
entertaining	hell
lucky	hell
hard	life
clear	day
smooth	silk
mad	hell
strong	proof
strong	fuck
black	night
easy	pie
funny	hell
nervous	hell
mad	hell
american	bacon and eggs
confident	hell
tenacious	mountain goats
clear	ice
strong	steel
mad	hell
old	time
sweet	pie
weak	piss
clear	night follows day
scary and creepy	hell
pointless	ferry companies without ferries
american	apple pie
american	apple pie
mean	heck
ugly	sin
messy	hell
common	hamstring stories
necessary	cricket in india
old	time
damaging	war itself
bleak	hell
painful	hell
old	time
sure	night follows day
guilty	hell
plain	day
bright	day
excited	hell
pink	flesh
sure	hell
old	storytelling itself
old	power hierarchy itself
dumb	hell
cute	pie
old	time
cute	heck
mad	hell
rich	hell
cheap	hell
pesky	hell
hip	hell
weak	piss
clear	day
wild	mountain goats
delicate	gossamer
smart	hell
engaging	hell
restless	hell
hot	fuck
ubiquitous	water
sure	hell
classy	hell
stylish	hell
catchy	hell
smart	hell
clear	crystal
american	apple cake
entertaining	hell
blue	gas jets
lucky	hell
lame	hell
clear	day
hard	hell
old	time
mad	hell
quick and easy	cake
shady	fuck
sure	clockwork
old	humankind itself
boring	heck
hot	hell
powerful	hell
black	coal
expensive	fuck
sure	hell
old	preseason practice itself
sure	hell
mad	hell
common	air and water
clear	day
weird	hell
horny	fuck
clear	day
mad	hell
smooth	hell
dramatic	hell
different	night and day
happy	hell
light	air
sure	hell
mean	hell
clear	day
hot	hell
weird	hell
bogus	hell
funny	hell
clear	day
proud	hell
odd	hell
interesting	hell
lame	hell
hot	hell
sick	hell
sure	heck
old	time
old	baseball itself
american	apple pie
stubborn	hell
angry	hell
spooky	shit
loud	plane crash
inevitable	gravity
old	violence
thick	kudzu on a pine tree
clear	day
smooth	sand paper
angry	hell
old	time
compelling	hell
stylish	hell
plain	day
american	apple pie
creepy	hell
obvious	daylight
efficient	fuck
old	advertising
vast	humanity
cruel	hell
cute	heck
different	chalk and cheese
clear	day
clear	glass
simple	air
fair	virgin pearls
smooth	silk
butch	hell
queer	fuck
strong	death
old	time
cool	hell
hot	fuck
ugly	sin
sure	heck
basic	fuck
old	reality tv itself
sure	hell
scary	hell
old	time
cold	clay
cute	hell
easy	pie
miserable	fuck
wonky	hell
cold	ice
complex	the truth
cheap	dirt
plain	day
luxurious	lobster
old	time
skinny	heck
neat	heck
brutal	hell
butch	hell
nervous	hell
hot	fuck
clear	day
chewy	hell
soft	cotton
mean	hell
solid	steel
weak	shit
smooth	jelly
weird	hell
smart	fuck
old	time
tough	hell
creepy	hell
scary	fuck
hot	hell
inevitable	death, taxes and leaky waders
old	civilisation itself
clear	mud
cheeky	hell
ancient	time itself
exciting	space travel
clear	mud
marketable	hell
essential	bread and water
old	time
sloppy	shit
easy	pie
clear	day
hard	heck
american	apple pie
thick	stew
rude	hell
dark and deep	peat
mild	milk
spooky	hell
high	hell
sexy	hell
old	humankind
sure	day follows night
scary	hell
scary	hell
dumb	shit
ignorant	fuck
clear	glass
critical	business
miserable	sin
sure	heck
old	humanity
cute	heck
clear	mud
big	hell
big	hell
sassy	hell
good	gold
clear	day
spooky	heck
thick	honey
easy	pie
bright	gold
old	infield dirt
mad	hell
cheeky	hell
funny	hell
guilty	hell
old	time
sweet	sugar
cheap	hell
clear	day
angry	hell
good	gold
hard	hell
mad	hell
cool	cucumber
clear	day
awkward	heck
sure	hell
bright	day
white	ivory
clear	mud
regular	clockwork
guilty	hell
sketchy	shit
minnesotan	corn dogs and walleye
confusing	hell
clear	daylight
old	time
sweet	table sugar
sweet	sugar
fine	hell
solid	gold
solid	gold
different	pluto and saturn
cold	ice
cold	ice
stupid	fuck
serious	hell
thick	mince
lazy	a toad
vain	narcissus
anxious	hell
easy	pie
easy	refrigerator etiquette
dangerous	hell
thick	stew
strong	ice
english	cream tea, motorway roadworks or the proroguing of parliament
good	daylight
tiny	heck
scary	hell
funny	hell
mad	hell
tough	hell
funny	hell
old	time
hungry	hell
sure	hell
shady	hell
soft	butter
ugly	hell
good	gold
sure	shit
lazy	hell
old	humanity itself
mediocre	hell
funny	hell
high	fuck
smooth	silk
scary	hell
tough	nail pilot
funny	hell
clear	day
sure	hell
touchy	hell
exciting	hell
clear	day
natural	breathing
clear	day
