WORD_SLOT1	WORD_SLOT2
простых	пень
неподвижен	скала
ласковым	телёнок
точна	молния
готов	штык
бледная	смерть
прозрачная	слеза
острый	монблан
просты	мир
мягкой	павлинье горло
узкий	футляр
радостен	ребенок
стара	мир
живой	жизнь
живой	жизнь
сладкая	мед
сладкой	мед
желанной	мед
горячая	утюг
доволен	слон
нужен	воздух
доволен	слон
довольна	слон
старые	жизнь
черный	смоль
черная	ночь
чистое	слеза
узкий	острие
сладка	вино
вечной	лестница
довольный	слон
чиста	слеза
стара	мир
выжатая	лимон
черным	сажа
легким	пушинка
невозмутимый	рептилия
бледная	смерть
тощий	щепка
белые	снег
тверда	алмаз
выжата	лимон
легкой	перышко
холодные	смерть
доволен	слон
прямые	стрела
довольная	слон
довольная	слон
чистое	лён
старо	брак
необходима	воздух
кристальная	сколок айсберга
стары	мир
крепка	дерево
острые	лед
прозрачный	слеза
старо	мир
доволен	слон
черствой	камень
старая	мир
гладкая	зеркало
твердых	камень
черен	смоль
доволен	ребенок
необходимы	воздух
черный	уголь
длинный	жердина
острому	бритва
старо	мир
белые	снег
стара	мир
стара	мир
красную	вино
оранжевую	апельсин
чистейшая	зеркало
толстый	шар
выжатый	лимон
мягкие	шелк
бледным	простыня
тяжелым	железо
стара	мир
прозрачный	хрусталь
нужны	воздух
легкой	ветер
счастлива	паровоз
вольны	ветер
доволен	слон
изменчивый	ветер
вкусный	человечина
доволен	слон
острым	меч
простого	карандаш
загорелая	шоколад
трезвым	стеклышко
горька	полынь
древний	мир
старая	мир
разряженным	кукла
чист	агнец
белый	смерть
старый	мир
стара	мир
мокрой	лягуша
белыми	свет
прозрачными	стекло
свободны	ветер
тупой	пробка
легкий	перышко
чёрные	мрак
довольна	слон
остер	бритва
нужна	воздух
бледен	мертвец
тверд	алмаз
холодными	лед
нежной	пух
холодна	лед
смирная	овечка
простых	палка
тощий	шепка
гладкой	шелк
верным	собака
сильным	мул
белой	снег
гибкие	резина
простое	топор
белой	снег
бледная	смерть
черного	смоль
мягкой	пух
красный	рак
стара	мир
бледное	болото
холоден	лед
черных	смоль
выжаты	лимон
стара	мир
сильного	железо
стройная	тростинка
красная	кровь
прекрасный	звезда
необходимы	воздух
чисты	слеза
воздушный	пачка
тверда	камень
прямым	палка
воздушная	зефир
доволен	слон
нем	рыба
довольная	удав
толстый	боров
довольная	слон
белый	снег
острый	бритва
твердой	алмаз
стара	мир
бледный	смерть
тончайшую	паутина
белые	снег
красный	кровь
стара	мир
прямой	стрела
старо	мир
черными	смоль
довольная	слон
спокойная	слон
стара	мир
старо	мир
легкой	пушинка
голубые	небо
стара	мир
проста	пень
стара	мир
гладкой	шелк
старо	мир
старый	мир
белые	снег
пустая	вата
твердая	камень
твердыми	камень
стары	мир
черной	смоль
стара	мир
мягкой	шелк
длинный	корабль
злая	собака
страшная	смерть
чёрные	ночь
серьезен	рак
нужен	воздух
старо	мир
худым	щепка
живой	жизнь
живой	жизнь
спокоен	танк
бледна	смерть
белый	ангел
нужны	воздух
прочной	бревно
рыхлым	медуза
ловкого	ягуар
скользкая	лед
неповоротлив	носорог
древний	человечество
необходима	воздух
надежен	скала
стар	мир
тверды	камень
зелёный	трава
синий	ночное небо 
красный	тревога
нужны	воздух
быстрые	молния
быстрые	молния
невинна	щеночек
лохматым	абориген
здоровая	лошадь
стройна	тополь
белых	снег
ровной	бревно
воздушная	суфле
стар	мир
черный	жук
бледных	полотно
рад	слон
стара	мир
гладкую	спокойствие
промезшая	бетон
красив	бог
тонка	паутина
блестящий	золото
скрюченная	буква
чудный	заря
тощий	спичка
слеп	крот
выжатый	лимон
туп	пробка
вечная	мир
стар	мир
необходимы	вода
красный	рак
свободны	ветер
нужны	воздух
здоров	бык
невинен	дитя
мягкого	глина
довольный	слон
выжатый	лимон
гигантские	парус
стар	мир
чистую	слеза
черной	смоль
гладкая	кость
надежный	молоток
старо	мир
легкая	бабочка
доволен	слон
голый	сокол
стройной	осина
упитанной	груша
хрупким	стекло
стройна	берёзка
устойчив	дуб
доверчивого	ребенок
необходим	воздух
старая	мир
прозрачен	стекло
чистой	слеза
слабым	тряпка
гладкая	шёлк
острые	бритва
белая	простыня
доверчивым	студентка
важны	вода
плоский	блин
довольна	слон
сильный	лев
белым	снег
доволен	слон
прозрачным	вода
довольна	слон
прост	топор
свободный	ветер
холодный	лёд
нужен	воздух
стара	мир
тупой	осёл
живой	жизнь
постоянен	скала
могучая	слон
зол	собака
легкой	дуновение
стара	мир
кроток	ягненок
кроток	ягненок
слеп	ягненок новорожденный котенок 
надежный	кувалда
огромна	море
любопытен	ребенок
старой	мир
стара	мир
мягкой	бархат
гладкой	бархат
давольна	паравоз
старой	мир
старом	мир
глупа	пёс
стары	мир
стара	мир
мягким	воск
слепа	крот
доволен	слон
нужна	воздух
стара	мир
живой	жизнь
упрямый	баран
гладкие	зеркало
нужны	воздух
чиста	слеза
стары	мир
глупый	пробка
нужны	воздух
черными	смоль
мягкие	облако
старой	мир
старые	мир
стара	мир
ровные	зеркало
мелкий	пыль
могуч	дерево
старые	мир
доволен	слон
стара	мир
яркие	карнавал
тонкий	спичка
стар	мир
свеженький	огурчик
вольна	птица
прекрасна	цветок лотоса
счастлива	слон
белый	полотно
неприступный	скала
старом	мир
вечные	земля
трердая	кость
стара	мир
старо	человечество
белые	снег
твердые	камень
старо	мир
необходим	воздух
легкий	перышко
стара	мир
твердая	камень
извилисты	спираль
стройная	газель
белой	снег
стара	мир
стара	мир
нужна	воздух
старого	мир
старо	мир
старых	мир
нужны	воздух
бесконечным	мир
черного	смоль
нужны	воздух
нужен	воздух
влюблена	кошка
упёртым	трактор
туп	пробка
шустрый	вжик
старо	мир
тверды	сталь
теплая	любовь
загадочная	мираж
старый	мир
нужны	воздух
необходимы	воздух
доволен	слон
нужен	жизнь
доволен	слон
вечное	жизнь
доволен	слон
худым	жердь
стара	мир
сухой	песок
прямой	стрела
доволен	слон
стара	мир
старо	мир
красный	рак
красный	рак
тверд	железо
красной	рак
нужна	воздух
заняты	пчелка
стара	мир
упрямый	осел
доволен	слон
спокойный	слон
проворному	понос
старо	мир
забугорный	чёрт
тонкой	тростинка
надежен	холод
несокрушим	пламя
стары	мир
стара	мир
простое	дверь
нежная	шелк
доволен	слон
старо	мир
стар	мир
доволен	слон
довоьна	слон
доволен	слон
вялая	вафля
доволен	слон
прост	топор
стара	мир
шершавой	терка
важна	воздух
доволен	слон
тоненькое	паутинка
белыми	молоко
старый	мир
грязный	черт
прозрачные	стекло
крепкой	бетон
ласковый	котенок
большой	медведь
довольна	слон
прост	автомат калашникова 
красива	солнце
острые	лезвие
крепкими	сталь
зеленое	слизь
твердой	камень
прозрачен	стекло
старо	мир
старо	мир
старо	мир
старой	мир
нужна	воздух
тяжелой	чугун
красенькая	помидор
темна	вода
длинный	змея
белому	порох
тверда	скала
мягкие	шелк
красивая	радуга
белые	снег
прост	вселенная
худенькая	тростинка
белые	снег
бледна	мел
белых	снег
холодных	снег
черная	смоль
горячий	сковородка
древнее	мир
нужен	воздух
довольна	слон
загадочный	ночь
холодный	лед
здоров	бык
свеж	огурчик
проста	мир
необходима	воздух
довольная	слон
довольна	слон
стары	мир
довольна	слон
крепким	орех
крепкой	орех
здоров	пионер
вязкой	деготь
белые	сахар
черна	смоль
быстрый	молния
доволен	слон
довольная	слон
стара	мир
необходимы	воздух
доволен	слон
стара	мир
сильный	бык
стара	мир
черная	сажа
вечная	жизнь
стара	мир
чист	слеза
крепкая	коньяк
игривая	шампанское
сочная	персик
сочная	персик
крепкая	коньяк
прямая	стрела
красная	помидор
беспристрастен	судья
нужны	воздух
натуральный	воздух
реальны	воздух
непоколебим	скала
нежный	шелк
черные	смоль
старо	мир
черной	смоль
старые	мир
необходим	воздух
неотвратимое	смерть
неотвратимые	смерть
желанная	шоколад
нежный	пушинка
естественное	чихание
белой	снег
чистую	слеза
стар	мир
надежная	автомат калашникова 
кроток	ягненок
светлый	дымка
крепкий	камень
удачлив	адвокат
белы	снег
стара	мир
свеж	поцелуй
черные	уголь
доволен	слон
простая	жвачка
просты	яйцо колумба 
белый	мел
вечный	камень
чистый	слеза
проста	табуретка
мягким	бумага
свободным	вода
мокрым	цуцик
мягкий	губка
старо	мир
надежный	скала
довольна	слон
доволен	удав
красив	роза
древний	мир
плоски	панель
ровное	струна
яркими	радуга
мощными	тигр
необходима	воздух
белом	сахар
хитрый	лиса
холодной	лед
прочным	скала
жёлтый	вечность
древней	мир
твердая	камень
прозрачны	стекло
нема	рыба
прямой	палка
красная	рак
прозрачное	слеза
нежная	пух
старая	мир
счастлив	ребенок
белым	снег
черных	смоль
спакойный	танк
прямые	меч викинга 
тонкий	бумага
прозрачный	стекло
белый	нефрит
слеп	крот
подвижным	капля ртути 
бледная	полотно
мягкий	бархат
прямой	струна
изящным и грациозным	француз
любопытна	кошка
мелодичные	джаз
яркий	солнце
черный	смоль
крепкий	камень
жирная	хрюша
черные	смоль
старые	мир
сухие	солома
твёрдой	алмаз
спокоен	танк
злой	собака
бесконечна	вселенная
доволен	слон
старая	мир
мощную	ураган
крепки	гора
старой	мир
трезвы	стёклышко
незаметные	ночь
тверда	камень
прозрачный	слеза
крепкий	кулак
страшная	смерть
бледный	смерть
прямых	солома
древний	мир
гладких	зеркало
нужна	воздух
тонкие	бумага
хрупкие	стекло
прочна	скала
гладкой	шелк
бледная	мел
выжатая	лимон
сверкающая	лед
мягкая	снег
крепкий	дуб
прямой	палка
проста	табуретка
вороными	смоль
ясными	день
крепкий	скала
обаятельный	черт
древней	мир
старая	мир
доволен	слон
довольна	слон
свободна	птица
сладкой	малина
мягкая	хлопок
черная	смоль
ядовитый	гадюка
чист	агнец
прямому	стрела
красное	помидор
темным	вино
необходима	воздух
крепкие	железо
довольный	слоник
гладкое	зеркало
яркие	жизнь
прост	магнитофон
чистое	мечта
хрупкое	крыло бабочки 
опасное	нож из тьмы
старо	мир
мягкий	пух
широкая	мир
тоненькая	пергамент
чист	голубь
древен	мир
белый	полотно
древним	мир
черным	смоль
огромная	гора
круглой	яйцо
бледны	полотно
тверды	сталь
черный	смоль
тощий	жердь
быстрой	ветер
спокойной и мягкой	вода
жесткой	земля
выжатыми	лимон
старо	мир
зол	черт
пьян	стелька
черными	смоль
черной	смоль
прямая	палка
прямая	палка
прост	пробка
красивая	богиня
чист	воздух
старые	мир
прозрачные	стекло
плоский	лещ
довольная	слон
легкий	перышко
стара	мир
стар	мир
старо	мир
жесткими	щетина
доволен	слон
жесткий	камень
упругий	пластик
гладкой	стекло
пламенный	юноша
необходима	воздух
проста	карандаш
необходимы	воздух
крепкими	железо
тихий	тень
синие	небо
прямой	стрела
страшный	черт
ласковый	теленок
доволен	свинья
острые	бритва
холодных	лед
бодрым	огурец
древний	мамонт
воздушный	облако
древнего	мир
выжата	лимон
чистые	слеза
твердый	кремень
легкий	кисея
синими	море
стара	мир
старо	мир
жидкая	вода
прямым	струна
доволен	удав
стара	мир
черными	смоль
ровной	стол
трезв	стеклышко
белой	снег
трезв	стекло
белой	снег
доволен	слон
необходимы	воздух
прозрачный	стекло
старой	мир
острыми	лезвие
бледный	смерть
острым	нож
прозрачен	слеза
чист	любовь
злая	сабака
проста	мир
органичен	рыба в воде
твердый	скала гибралтара 
прозрачная	стекло
проста	стеклышко
старые	мир
нереально	сон
белого	мука
стройным	тростинка
белыми	свет
узкому	бритва
невинна	ребенок
трезвы	стеклышко
чёрная	ночь
смирный	теленок
хмур	ночь
древне	мир
прозрачны	стекло
старо	мир
искренен	ребенок
искренен	ребенок
нужна	воздух
чистую	слеза
естественны	дыхание
постепенным	улитка
стремительным	метеор
чистые	слеза
глубокого	сажа
безупречной	фарфор
тверд	камень
черные	ночь
острым	бритва
бледным	бумага
холодна	лед
голубого	лед
холодна	лед
прекрасна	ангел
яркую	барбарис
беспомощен	птичка
бледное	смерть
нужны	воздух
дырявый	дуршлаг
бескрайнее	океан
здоров	слон
быстр	ягуар
чист	ангел
учтивая	стюардесса на иностранных авиалиниях
легкие	пушинка
холодный	лед
древнего	мир
крепка	камень
старая	мир
белая	мел
доволен	слон
нужна	воздух
старый	мир
нужна	воздух
холодные	дождь
колючей	елка
силён	медведь
твердые	камень
белая	снег
нужны	воздух
горячий	огонь
чист	стеклышко
белой	молоко
темны	смоль
скучной	чёрт
изворотливый	змея
плоском	поднос
оборванный	бродяга
старо	мир
стары	мир
твердый	камень
гладкие	зеркало
вольный	ветер
мягкая	шелк
грязный	черт
упрямый	ишак
стара	мир
быстрым	ветер
надежен	автомат калашникова 
надежен	автомат калашникова 
чистая	слеза
бледное	смерть
старо	мир
чистейший	кокаин
стары	мир
довольная	слон
наивная	ребенок
любопытная	кошка
белым	снег
проста	мир
проста	палка
прочными	камень
холоден	лед
простые	мир
доволен	слон
вязкой	глина
быстрая	ветер
наивна	человек
выжатая	лимон
старая	мир
необходим	воздух
необходимы	воздух
стара	мир
стара	мир
здоров	бык
старо	мир
живуч	кошка
необходим	воздух
гладкой	мрамор
счастлив	слон
тяжелый	черт
злая	черт
черной	смоль
мокрый	чушка
старой	мир
стара	мир
нужны	воздух
сухой	жердь
вкусна	сахар
доволен	слон
веселый	дитя
необходимы	воздух
гладкая	лед
туп	дерево
твердого	кремень
трезв	стеклышко
старо	мир
могучий	дуб
иссиня-черный	смоль
плоский	лещ
бледная	поганка
черный	ночь
белые	снег
мягкая	шелк
черных	сажа
теплом	молоко
старой	мир
нужен	воздух
чистое	слеза
наивен	свинья
острая	игла
острых	бритва
невинна	овечка
плоская	досточка
спокоен	слон
черными	ночь
необходимы	воздух вода и свет
стара	мир
старая	мир
стар	мир
твёрд	гора
нужны	воздух
тверд	алмаз
хрупкой	хрусталь
прочной	сталь
лeгким	пух
упертый	баран
прекрасна	жизнь
старой	мир
рад	слон
красный	рак
стара	мир
холодны	лед
нужна	воздух
черный	смоль
гладкими	шелк
просты	мир
холодна	лед
стара	мир
мягкой	шелк
живой	жизнь
необходима	воздух
прозрачны	слеза
тончайших	паутинка
прозрачные	лед
стары	мир
сушеная	вобла
быстрые	молния
свободен	ветер
проста	валенок
серой	мышь
древнее	мир
нужен	воздух
довольна	слон
красный	рак
трезв	стекло
счастлива	слон
вольная	птица
